央视,#genre#
CCTV1,http://123.129.187.246:3389/tsfile/live/0001_1.m3u8
河南戏曲,http://115.60.241.249:2000/rtp/225.1.4.99:1128
CCTV3,http://123.129.187.246:3389/tsfile/live/0003_1.m3u8
CCTV5,http://123.129.187.246:3389/tsfile/live/0005_1.m3u8
CCTV6,http://123.129.187.246:3389/tsfile/live/0006_1.m3u8

CCTV8,http://123.129.187.246:3389/tsfile/live/0008_1.m3u8
CCTV12,http://123.129.187.246:3389/tsfile/live/0012_1.m3u8

CCTV15,http://123.129.187.246:3389/tsfile/live/0015_1.m3u8
CCTV5+,http://123.129.187.246:3389/tsfile/live/0016_1.m3u8
CCTV-17,http://123.129.187.246:3389/tsfile/live/1028_1.m3u8
山东卫,http://123.129.187.246:3389/tsfile/live/0131_1.m3u8
山东,http://123.129.187.246:3389/tsfile/live/1010_1.m3u8
山东综,http://123.129.187.246:3389/tsfile/live/1011_1.m3u8
http://123.129.187.246:3389/tsfile/live/1003_1.m3u8
山东教育,http://123.129.187.246:3389/tsfile/live/1027_1.m3u8
湖南卫,http://123.129.187.246:3389/tsfile/live/0128_1.m3u8
上海卫视,http://123.129.187.246:3389/tsfile/live/0107_1.m3u8
辽宁卫视,http://123.129.187.246:3389/tsfile/live/0121_1.m3u8
黑龙江卫视,http://123.129.187.246:3389/tsfile/live/0143_1.m3u8
浙江卫视,http://123.129.187.246:3389/tsfile/live/0124_1.m3u8
江苏卫视,http://123.129.187.246:3389/tsfile/live/0127_1.m3u8
北京卫视,http://123.129.187.246:3389/tsfile/live/0122_1.m3u8
广东卫视,http://123.129.187.246:3389/tsfile/live/0125_1.m3u8
吉林卫视,http://123.129.187.246:3389/tsfile/live/0116_1.m3u8
四川卫视,http://123.129.187.246:3389/tsfile/live/0123_1.m3u8
安徽卫视,http://123.129.187.246:3389/tsfile/live/0130_1.m3u8
深圳卫视,http://123.129.187.246:3389/tsfile/live/0126_1.m3u8
河南卫视,http://123.129.187.246:3389/tsfile/live/0139_1.m3u8
东南卫视,http://123.129.187.246:3389/tsfile/live/0137_1.m3u8
湖北卫视,http://123.129.187.246:3389/tsfile/live/0132_1.m3u8
云南卫视,http://123.129.187.246:3389/tsfile/live/0119_1.m3u8
江西卫,http://123.129.187.246:3389/tsfile/live/0138_1.m3u8
广西卫视,http://123.129.187.246:3389/tsfile/live/0113_1.m3u8
贵州卫视,http://123.129.187.246:3389/tsfile/live/0120_1.m3u8
宁夏卫视,http://123.129.187.246:3389/tsfile/live/0112_1.m3u8
山西卫视,http://123.129.187.246:3389/tsfile/live/0118_1.m3u8
陕西卫视,http://123.129.187.246:3389/tsfile/live/0136_1.m3u8
甘肃卫视,http://123.129.187.246:3389/tsfile/live/0141_1.m3u8
三沙卫视,http://123.129.187.246:3389/tsfile/live/1034_1.m3u8
兵团卫视,http://123.129.187.246:3389/tsfile/live/0115_1.m3u8
港澳台,#genre#
TVB武侠,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8

湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy

TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
東森電影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b

龍華电影,http://50.7.234.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
愛爾達影劇,http://50.7.234.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84

緯來電影,http://122.117.71.103:8554/http/220.130.87.218:8081/hls/69/811/ch035.m3u8

八大戲劇,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e
东森戏剧,http://50.7.234.10:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7

緯來戲劇,http://122.117.71.103:8532/http/220.130.87.218:8081/hls/69/811/ch033.m3u8
三立戏剧,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
美亚,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
龙华偶像,http://50.7.234.10:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff

龙祥电影,http://50.7.234.10:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
星影,http://123.129.187.246:3389/tsfile/live/1009_1.m3u8
家庭影院,http://123.129.187.246:3389/tsfile/live/1025_1.m3u8
喜剧影院,http://123.129.187.246:3389/tsfile/live/1023_1.m3u8
动作影院,http://123.129.187.246:3389/tsfile/live/1024_1.m3u8
CHC家庭影院,http://123.129.187.246:3389/tsfile/live/1029_1.m3u8
CHC动作电影,http://123.129.187.246:3389/tsfile/live/1031_1.m3u8
CHC高清电影,http://123.129.187.246:3389/tsfile/live/1032_1.m3u8
IPTV相声小品,http://123.129.187.246:3389/tsfile/live/1035_1.m3u8
IPTV热播剧场,http://123.129.187.246:3389/tsfile/live/1036_1.m3u8
IPTV经典电影,http://123.129.187.246:3389/tsfile/live/1033_1.m3u8
