试验,#genre#

CCTV1,http://115.60.241.249:2000/rtp/225.1.4.73:1102

CHC动作电影,http://115.60.241.249:2000/rtp/225.1.4.208:1261

CCTV-3,http://115.60.241.249:2000/rtp/225.1.4.158:1194

CCTV-5＋,http://115.60.241.249:2000/rtp/225.1.4.75:1104

CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.159:1195

CCTV-6,http://115.60.241.249:2000/rtp/225.1.4.160:1196

CHC影迷,http://115.60.241.249:2000/rtp/225.1.4.207:1260

CCTV-8,http://115.60.241.249:2000/rtp/225.1.4.161:1197

CHC家庭影院,http://115.60.241.249:2000/rtp/225.1.4.209:1262

经典电影,http://115.60.241.249:2000/rtp/225.1.4.175:1233

IPTV相声小品,http://115.60.241.249:2000/rtp/225.1.4.186:1235

CCTV-12,http://115.60.241.249:2000/rtp/225.1.4.79:1108

热播剧场,http://115.60.241.249:2000/rtp/225.1.4.190:1239

爱电影,http://115.60.241.249:2000/rtp/225.1.4.6:1035
爱大剧,http://115.60.241.249:2000/rtp/225.1.4.8:1037

CCTV-17,http://115.60.241.249:2000/rtp/225.1.4.226:2506

河南卫视,http://115.60.241.249:2000/rtp/225.1.4.98:1127
河南都市频道,http://115.60.241.249:2000/rtp/225.1.4.52:1081
河南电视剧频道,http://115.60.241.249:2000/rtp/225.1.4.55:1084

湖南卫视,http://115.60.241.249:2000/rtp/225.1.4.82:1111
江苏卫视,http://115.60.241.249:2000/rtp/225.1.4.83:1112
浙江卫视,http://115.60.241.249:2000/rtp/225.1.4.84:1113
北京卫视,http://115.60.241.249:2000/rtp/225.1.4.81:1110
东方卫视,http://115.60.241.249:2000/rtp/225.1.4.85:1114
天津卫视,http://115.60.241.249:2000/rtp/225.1.4.86:1115
山东卫视,http://115.60.241.249:2000/rtp/225.1.4.88:1117
安徽卫视,http://115.60.241.249:2000/rtp/225.1.4.87:1116
深圳卫视,http://115.60.241.249:2000/rtp/225.1.4.90:1119
江西卫视,http://115.60.241.249:2000/rtp/225.1.4.139:1305

湖北卫视,http://115.60.241.249:2000/rtp/225.1.4.89:1118
四川卫视,http://115.60.241.249:2000/rtp/225.1.4.151:1306
黑龙江卫视,http://115.60.241.249:2000/rtp/225.1.4.91:1120
云南卫视,http://115.60.241.249:2000/rtp/225.1.4.152:1307
贵州卫视,http://115.60.241.249:2000/rtp/225.1.4.122:1302
辽宁卫视,http://115.60.241.249:2000/rtp/225.1.4.167:1208
东南卫视,http://115.60.241.249:2000/rtp/225.1.4.228:1274
重庆卫视,http://115.60.241.249:2000/rtp/225.1.4.157:1308
广东卫视,http://115.60.241.249:2000/rtp/225.1.4.166:1207
广西卫视,http://115.60.241.249:2000/rtp/225.1.4.31:1060
河北卫视,http://115.60.241.249:2000/rtp/225.1.4.123:1304
海南卫视,http://115.60.241.249:2000/rtp/225.1.4.25:1054
吉林卫视,http://115.60.241.249:2000/rtp/225.1.4.174:1309
山西卫视,http://115.60.241.249:2000/rtp/225.1.4.38:1067
陕西卫视,http://115.60.241.249:2000/rtp/225.1.4.39:1068








​TVB武侠,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
美亚电影,http://198.16.100.186:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e

龍華偶像,http://aktv_stream1.m16tv.cfd/stream/taiwan/null-9/AKTV.m3u8
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
東森電影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b

龍華电影,http://50.7.234.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
愛爾達影劇,http://50.7.234.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84

緯來電影,http://122.117.71.103:8554/http/220.130.87.218:8081/hls/69/811/ch035.m3u8

八大戲劇,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e
东森戏剧,http://50.7.234.10:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7

緯來戲劇,http://122.117.71.103:8532/http/220.130.87.218:8081/hls/69/811/ch033.m3u8
三立戏剧,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59

​


